Disease,Symptoms,symptom 1
Hypertension ,"Doctor, I’ve been feeling very dizzy lately, and I’m having trouble maintaining my balance. I also find it hard to concentrate on anything, like my mind is foggy. It’s making it difficult to go about my day. Can you help me understand what might be causing these symptoms?","dizziness, loss of balance, lack of concentration"
Peptic ulcer diseae,"Doctor, I’ve been vomiting quite a bit recently, and along with that, I’ve been having issues with indigestion. I’ve also completely lost my appetite, and I can’t seem to eat anything without feeling uncomfortable. It’s really worrying me. Can you help me figure out what’s happening?","vomiting, indigestion, loss of appetite"
Piles,"Doctor, I’ve been experiencing pain in my anal region, and I’ve noticed that my stool has been bloody. There's also a lot of irritation around the anus, which is making it really uncomfortable. Could you help me understand what might be going on?","pain in anal region, bloody stool, irritation in anus"
Common Cold,"Doctor, I’ve been dealing with constant irritation in my throat, and it’s making me cough frequently. On top of that, I’ve been sneezing non-stop. It’s really bothering me, and I’m not sure what’s causing it. Can you help?","throat irritation, cough, continuous sneezing"
Chicken pox,"Doctor, I’ve developed red spots all over my body, and I’ve been running a high fever for the past few days. Along with that, I have a skin rash that’s making me really uncomfortable. Could you help me figure out what’s going on?","red spots over body, high fever, skin rash"
Cervical spondylosis,"Doctor, I’ve been having persistent pain in my back and neck, and it’s been getting worse over time. On top of that, I’ve been feeling quite dizzy, especially when I move around. It’s really affecting my daily activities. Can you help me understand what might be causing this?","back pain, neck pain, dizziness"
Hyperthyroidism,"Doctor, I’ve noticed that my thyroid seems enlarged, and I’ve been dealing with brittle nails that break easily. My extremities, especially my hands and feet, have also been swollen. It’s starting to get concerning, and I’m not sure what’s causing it. Could you help me out?","enlarged thyroid, brittle nails, swollen extremeties"
Urinary tract infection,"Doctor, I’ve been experiencing discomfort in my bladder, and my urine has a really foul smell. On top of that, I constantly feel the urge to urinate, even when I don’t need to. It’s been very uncomfortable. Could you help me figure out what might be going on?","bladder discomfort, foul smell of urine, continuous feel of urine"
Varicose veins,"Doctor, I’ve noticed some bruising on my body, and there are swollen blood vessels that seem more noticeable than usual. I’m also seeing prominent veins on my calf that weren’t visible before. It’s starting to worry me. Can you help me understand what might be causing this?","bruising, swollen blood vessels, prominent veins on calf"
AIDS,"Doctor, I’ve been experiencing some muscle wasting, and I’ve noticed patches in my throat that are concerning me. I also have a history of extra-marital contacts, and I’m worried if this might be affecting my health. Could you help me understand what might be going on?","muscle wasting, patches in throat, extra marital contacts"
Paralysis ,"Doctor, I’ve been dealing with a persistent headache, and I’ve noticed weakness on one side of my body. My sensorium seems altered too—I’m feeling confused and disoriented at times. It’s really scaring me, and I’m not sure what’s happening. Could you help me figure this out?","headache, weakness of one body side, altered sensorium"
Typhoid,"Doctor, I’ve been vomiting frequently, and I’ve been feeling extremely fatigued no matter how much I rest. I also have a high fever that won’t seem to go down. These symptoms have been going on for a few days now, and I’m starting to feel really weak. Can you help me understand what might be going on?","vomiting, fatigue, high fever"
Hepatitis B,"Doctor, I’ve noticed the white part of my eyes has turned yellow, and I’ve been feeling very unwell, almost like a general malaise. I’m also receiving a blood transfusion, and I’m concerned whether these things are related. Could you help me understand what’s going on?","yellowing of eyes, malaise, receiving blood transfusion"
Fungal infection,"Doctor, I’ve developed a skin rash along with some nodal skin eruptions that are really bothering me. I’ve also noticed dischromic patches on my skin, which are uneven in color. It’s causing a lot of discomfort, and I’m not sure what’s causing this. Can you help me figure it out?","skin rash, nodal skin eruptions, dischromic patches"
Hepatitis C,"Doctor, I’ve lost my appetite lately, and I’ve noticed that the whites of my eyes have started to yellow. I also have a family history of liver issues, and I’m concerned this might be related. Could you help me understand what might be going on?","loss of appetite, yellowing of eyes, family history"
Migraine,"Doctor, I’ve been experiencing a lot of acidity, and it’s been making me feel really uncomfortable. Along with that, I’ve been getting frequent headaches, and my vision has become blurry and distorted at times. I’m not sure what’s causing this. Can you help me understand what might be going on?","acidity headache, blurred and distorted vision"
Bronchial Asthma,"Doctor, I’ve been running a high fever for a few days now, and I’m having trouble breathing, especially when I exert myself. I’ve also been coughing up mucoid sputum. It’s really making me feel weak and uncomfortable. Can you help me figure out what might be causing this?","high fever, breathlessness, mucoid sputum"
Alcoholic hepatitis,"Doctor, I’ve been noticing some distention in my abdomen, and I have a history of alcohol consumption. Lately, I’ve also been feeling like there’s fluid overload in my body, especially in my legs. I’m really concerned about these symptoms. Can you help me understand what’s happening?","distention of abdomen, history of alcohol consumption, fluid overload"
Jaundice,"Doctor, I’ve been experiencing unexplained weight loss, and I’ve noticed my skin has turned a yellowish color. My urine has also become darker than usual. I’m starting to get really worried about these changes. Can you help me understand what might be going on?","weight loss, yellowish skin, dark urine"
Hepatitis E,"Doctor, I’ve been experiencing severe abdominal pain, and I’ve noticed that the whites of my eyes have turned yellow. I’m really concerned because I’ve read about acute liver failure, and I’m worried that might be what’s happening. Can you help me figure out what’s going on?","abdominal pain, yellowing of eyes, acute liver failure"
Dengue,"Doctor, I’ve been running a high fever for the past few days, and I’ve been feeling nauseous pretty frequently. On top of that, I’ve lost my appetite completely, and I can’t seem to eat anything without feeling worse. Can you help me understand what might be causing this?","high fever, nausea, loss of appetite"
Hepatitis D,"Doctor, I’ve been feeling very nauseous lately, and I’ve completely lost my appetite. I’ve also been experiencing some persistent abdominal pain that comes and goes. It’s really affecting my daily routine, and I’m not sure what’s going on. Can you help me figure this out?","nausea, loss of appetite, abdominal pain"
Heart attack,"Doctor, I’ve been feeling breathless, even with minimal activity, and I’ve been sweating a lot. Along with that, I’ve been experiencing some chest pain, which has me really concerned. Can you help me understand what might be happening?","breathlessness, sweating, chest pain"
Pneumonia,"Doctor, I’ve been feeling very unwell, like a general malaise, and I’ve been coughing up phlegm. The sputum is rusty-colored, which is worrying me. It’s been going on for a while now, and I’m not sure what’s causing this. Can you help me understand what’s going on?","malaise, phlegm, rusty sputum"
Arthritis,"Doctor, I’ve been experiencing swelling in my joints, and there’s a lot of stiffness when I try to move. It’s also become really painful to walk, and I’m finding it hard to get around. Could you help me figure out what might be causing this?","swelling joints, movement stiffness, painful walking"
Gastroenteritis,"Doctor, I’ve noticed that my eyes are looking sunken, and I’ve been feeling very dehydrated. On top of that, I’ve had diarrhea for the past few days. It’s really draining me, and I’m getting concerned. Can you help me understand what might be going on?","sunken eyes, dehydration, diarrhoea"
Tuberculosis,"Doctor, I’ve been coughing a lot lately, and I’ve been coughing up phlegm. Recently, I’ve also noticed blood in the sputum, which is really worrying me. Can you help me figure out what might be causing this?","phlegm, cough, blood in sputum"
